species,reactor,sample_time,dilution,count,comment,average,stdev,total,composition
ct,M2,115.78,-5,49|52|41,,473333333.3333333,56862407.030773304,473333333.3333333,1.0
ct,M2,120.9,-5,40|40|51,,436666666.6666666,63508529.61085887,436666666.6666666,1.0
ct,M2,139.56,-6,10|12|9,,1033333333.3333334,152752523.16519466,1033333333.3333334,1.0
ct,M2,146.25,-5,42|46|47,,450000000.0,26457513.110645905,450000000.0,1.0
ct,M2,163.37,-5,70|86|80,,786666666.6666666,80829037.68654767,786666666.6666666,1.0
ct,M2,170.08,-5,31|32|35,,326666666.6666666,20816659.994661327,326666666.6666666,1.0
ct,M2,187.33,-5,35|33|51,,396666666.6666666,98657657.24632499,396666666.6666666,1.0
ct,M2,194.14,-5,52|53|33,,460000000.0,112694276.69584648,460000000.0,1.0
ct,M2,212.3,-5,32|26|25,,276666666.6666666,37859388.97200179,276666666.6666666,1.0
