exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,-0.00922790585618902,0.0,6800.0,28.0,0.0,27.0,34.375,28.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1335.0,552.0,0.0,410.0,186.0,0.0,285.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
60.27,0.02963031354619184,0.0,6800.0,28.0,0.09044999999998225,27.0,34.375,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1340.0,553.0,0.0,409.0,187.0,0.0,287.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
120.32,0.031539647492801186,0.0,6800.0,28.0,0.05364999999998475,27.0,34.375,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1340.0,550.0,0.0,415.0,191.0,0.0,286.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
180.36,0.024106607630088726,0.0,6800.0,28.0,0.037149999999983835,27.0,34.3125,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1340.0,553.0,0.0,410.0,188.0,0.0,285.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
240.41,0.02594862288031123,0.0,6800.0,28.0,0.0789499999999751,27.0,34.1875,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1337.0,549.0,0.0,413.0,189.0,0.0,286.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
300.46,0.0382142978137946,0.0,6800.0,28.0,0.06984999999998337,27.0,34.125,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1332.0,548.0,0.0,414.0,188.0,0.0,284.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
360.52,0.03363951007884371,0.0,6800.0,28.0,0.06394999999997282,27.0,34.25,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1336.0,549.0,0.0,412.0,188.0,0.0,285.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
420.6,0.04006630084757532,0.0,6800.0,28.0,0.12344999999997897,27.0,34.1875,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1333.0,548.0,0.0,412.0,187.0,0.0,284.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
480.67,0.04103716888319009,0.0,6800.0,28.0,0.09264999999998197,27.0625,34.1875,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1334.0,547.0,0.0,414.0,189.0,0.0,286.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
540.72,0.018580639552808722,0.0,6800.0,28.0,0.08974999999997126,27.0625,34.0625,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1332.0,549.0,0.0,412.0,188.0,0.0,285.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
600.79,0.00760410909049369,0.0,6800.0,28.0,0.12834999999998134,27.0625,33.9375,27.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1332.0,548.0,0.0,416.0,187.0,0.0,285.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
660.84,-0.06474840950483812,0.0,6800.0,28.0,0.08454999999997939,27.0625,34.0,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1332.0,548.0,0.0,417.0,191.0,0.0,289.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
720.88,-0.05145690989146977,0.0,6800.0,28.0,0.06274999999996825,27.125,34.0625,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1334.0,547.0,0.0,416.0,189.0,0.0,286.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
780.93,-0.05032234241896557,0.0,6800.0,28.0,0.08214999999997817,27.125,34.125,27.750000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1329.0,552.0,0.0,414.0,192.0,0.0,293.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
841.0,-0.035115589010929225,0.0,6800.0,28.0,0.06214999999996709,27.1875,34.1875,28.190000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1328.0,551.0,0.0,421.0,192.0,0.0,291.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
901.07,0.006324136297581401,0.0,6800.0,28.0,0.07944999999997636,27.25,34.25,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1334.0,552.0,0.0,418.0,195.0,0.0,294.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
961.12,0.019086451687447784,0.0,6800.0,28.0,0.13274999999997306,27.25,34.3125,28.130000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1332.0,549.0,0.0,418.0,191.0,0.0,293.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
1021.16,0.003312293869402032,0.0,6800.0,28.0,0.04474999999996358,27.25,34.3125,27.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1333.0,547.0,0.0,418.0,192.0,0.0,293.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
1081.21,-0.004923432082919279,0.0,6800.0,28.0,0.09714999999997448,27.375,34.3125,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1328.0,547.0,0.0,416.0,191.0,0.0,290.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
1141.28,-0.018516593402826416,0.0,6800.0,28.0,0.027349999999960933,27.375,34.375,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1329.0,547.0,0.0,416.0,189.0,0.0,290.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
1201.35,-0.11856878797182188,0.0,6800.0,28.0,0.10674999999997314,27.4375,34.375,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1327.0,548.0,0.0,416.0,192.0,0.0,292.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
1261.41,-0.09126696624533823,0.0,6800.0,28.0,0.044949999999969945,27.4375,34.375,28.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1327.0,546.0,0.0,420.0,191.0,0.0,292.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
